Country,Date,Price (EUR/MWhe)
Ireland,2021-07-01,143.37
Greece,2021-08-01,121.61
Ireland,2021-08-01,131.04
United Kingdom,2021-08-01,125.34
Austria,2021-09-01,135.11
Belgium,2021-09-01,136.15
Bulgaria,2021-09-01,125.07
Croatia,2021-09-01,138.6
Czechia,2021-09-01,129.71
Denmark,2021-09-01,124.75
Estonia,2021-09-01,122.37
France,2021-09-01,135.3
Germany,2021-09-01,128.98
Greece,2021-09-01,134.72
Hungary,2021-09-01,135.13
Ireland,2021-09-01,195.15
Italy,2021-09-01,158.74
Latvia,2021-09-01,123.47
Lithuania,2021-09-01,123.93
Luxembourg,2021-09-01,128.98
Netherlands,2021-09-01,136.39
Portugal,2021-09-01,156.79
Romania,2021-09-01,133.92
Serbia,2021-09-01,135.14
Slovakia,2021-09-01,132.65
Slovenia,2021-09-01,138.6
Spain,2021-09-01,156.4
Switzerland,2021-09-01,138.21
United Kingdom,2021-09-01,220.54
Austria,2021-10-01,171.83
Belgium,2021-10-01,165.37
Bulgaria,2021-10-01,188.57
Croatia,2021-10-01,202.73
Czechia,2021-10-01,140.62
France,2021-10-01,172.58
Germany,2021-10-01,142.22
Greece,2021-10-01,198.52
Hungary,2021-10-01,197.29
Ireland,2021-10-01,215.56
Italy,2021-10-01,217.66
Luxembourg,2021-10-01,142.22
Netherlands,2021-10-01,163.81
Portugal,2021-10-01,199.7
Romania,2021-10-01,192.32
Serbia,2021-10-01,201.48
Slovakia,2021-10-01,151.17
Slovenia,2021-10-01,202.73
Spain,2021-10-01,199.67
Switzerland,2021-10-01,198.32
United Kingdom,2021-10-01,212.23
Austria,2021-11-01,206.52
Belgium,2021-11-01,202.17
Bulgaria,2021-11-01,208.7
Croatia,2021-11-01,215.96
Czechia,2021-11-01,180.31
Denmark,2021-11-01,139.96
France,2021-11-01,217.27
Germany,2021-11-01,176.28
Greece,2021-11-01,228.88
Hungary,2021-11-01,215.91
Ireland,2021-11-01,201.38
Italy,2021-11-01,225.99
Latvia,2021-11-01,125.48
Lithuania,2021-11-01,127.91
Luxembourg,2021-11-01,176.28
Netherlands,2021-11-01,186.3
Portugal,2021-11-01,193.79
Romania,2021-11-01,212.55
Serbia,2021-11-01,218.28
Slovakia,2021-11-01,185.38
Slovenia,2021-11-01,215.81
Spain,2021-11-01,193.72
Switzerland,2021-11-01,226.99
United Kingdom,2021-11-01,219.34
Austria,2021-12-01,259.08
Belgium,2021-12-01,245.43
Bulgaria,2021-12-01,219.75
Croatia,2021-12-01,251.76
Czechia,2021-12-01,228.59
Denmark,2021-12-01,189.95
Estonia,2021-12-01,202.55
Finland,2021-12-01,193.27
France,2021-12-01,274.51
Germany,2021-12-01,225.08
Greece,2021-12-01,235.36
Hungary,2021-12-01,245.7
Ireland,2021-12-01,253.74
Italy,2021-12-01,281.01
Latvia,2021-12-01,207.3
Lithuania,2021-12-01,212.11
Luxembourg,2021-12-01,225.08
Netherlands,2021-12-01,237.8
Norway,2021-12-01,136.54
Poland,2021-12-01,179.38
Portugal,2021-12-01,239.07
Romania,2021-12-01,230.14
Serbia,2021-12-01,246.37
Slovakia,2021-12-01,231.95
