country,date,price
France,2015-01-01,40.94
Portugal,2015-01-01,51.77
Spain,2015-01-01,51.48
France,2015-02-01,50.14
Portugal,2015-02-01,42.61
Spain,2015-02-01,42.6
France,2015-03-01,43.79
Portugal,2015-03-01,43.18
Spain,2015-03-01,43.08
France,2015-04-01,39.52
Portugal,2015-04-01,45.54
Spain,2015-04-01,45.37
France,2015-05-01,26.46
Portugal,2015-05-01,45.21
Spain,2015-05-01,45.17
France,2015-06-01,32.16
Portugal,2015-06-01,54.76
Spain,2015-06-01,54.75
France,2015-07-01,37.91
Portugal,2015-07-01,59.59
Spain,2015-07-01,59.53
France,2015-08-01,32.19
Portugal,2015-08-01,55.62
Spain,2015-08-01,55.61
France,2015-09-01,37.45
Portugal,2015-09-01,52.4
Spain,2015-09-01,51.87
France,2015-10-01,44.96
Portugal,2015-10-01,49.88
Spain,2015-10-01,49.89
France,2015-11-01,41.7
Portugal,2015-11-01,51.48
Spain,2015-11-01,51.22
France,2015-12-01,35.13
Portugal,2015-12-01,52.89
Spain,2015-12-01,52.59
France,2016-01-01,33.6
Portugal,2016-01-01,36.38
Spain,2016-01-01,36.51
France,2016-02-01,25.54
Portugal,2016-02-01,27.33
Spain,2016-02-01,27.48
France,2016-03-01,27.09
Portugal,2016-03-01,27.68
Spain,2016-03-01,27.79
France,2016-04-01,25.48
Portugal,2016-04-01,23.48
Spain,2016-04-01,24.09
France,2016-05-01,24.28
Portugal,2016-05-01,24.98
Spain,2016-05-01,25.81
France,2016-06-01,28.02
Portugal,2016-06-01,38.31
Spain,2016-06-01,38.92
"United Kingdom",2016-06-01,45.46
France,2016-07-01,30.1
Portugal,2016-07-01,40.35
Spain,2016-07-01,40.52
"United Kingdom",2016-07-01,44.65
France,2016-08-01,29.72
Portugal,2016-08-01,41.13
Spain,2016-08-01,41.14
"United Kingdom",2016-08-01,41.57
France,2016-09-01,37.2
Portugal,2016-09-01,43.63
Spain,2016-09-01,43.61
"United Kingdom",2016-09-01,53.58
France,2016-10-01,55.19
Portugal,2016-10-01,52.8
Spain,2016-10-01,52.85
"United Kingdom",2016-10-01,55.25
France,2016-11-01,65.18
Portugal,2016-11-01,56.27
Spain,2016-11-01,56.15
"United Kingdom",2016-11-01,68.54
France,2016-12-01,59.24
Portugal,2016-12-01,60.27
Spain,2016-12-01,60.49
"United Kingdom",2016-12-01,57.37
France,2017-01-01,78.0
Portugal,2017-01-01,71.54
Spain,2017-01-01,71.51
"United Kingdom",2017-01-01,61.36
France,2017-02-01,51.33
Portugal,2017-02-01,51.35
Spain,2017-02-01,51.7
"United Kingdom",2017-02-01,57.61
France,2017-03-01,35.4
Portugal,2017-03-01,43.92
Spain,2017-03-01,43.16
"United Kingdom",2017-03-01,48.42
France,2017-04-01,34.74
Portugal,2017-04-01,44.17
Spain,2017-04-01,43.69
"United Kingdom",2017-04-01,48.39
France,2017-05-01,34.26
Portugal,2017-05-01,47.18
Spain,2017-05-01,47.17
"United Kingdom",2017-05-01,48.13
France,2017-06-01,32.74
Portugal,2017-06-01,50.2
Spain,2017-06-01,50.2
"United Kingdom",2017-06-01,43.24
France,2017-07-01,34.61
Portugal,2017-07-01,48.6
Spain,2017-07-01,48.63
"United Kingdom",2017-07-01,46.06
France,2017-08-01,32.02
Portugal,2017-08-01,47.43
Spain,2017-08-01,47.45
