Country,Date,Price (EUR/MWhe)
Italy,2022-08-01,543.55
Hungary,2022-08-01,495.65
Slovenia,2022-08-01,494.38
Croatia,2022-08-01,494.05
France,2022-08-01,493.08
Slovakia,2022-08-01,492.47
Serbia,2022-08-01,492.45
Romania,2022-08-01,490.8
Austria,2022-08-01,488.27
Switzerland,2022-08-01,488.14
Lithuania,2022-08-01,480.5
Czechia,2022-08-01,476.73
Latvia,2022-08-01,467.09
Germany,2022-08-01,463.59
Luxembourg,2022-08-01,463.59
Denmark,2022-08-01,454.43
Belgium,2022-08-01,448.12
Netherlands,2022-08-01,447.25
Italy,2022-07-01,441.77
United Kingdom,2022-08-01,438.03
Greece,2022-08-01,436.76
Bulgaria,2022-08-01,433.22
Italy,2022-09-01,429.25
Greece,2022-09-01,416.41
Switzerland,2022-09-01,403.79
France,2022-07-01,400.95
Austria,2022-09-01,396.32
Serbia,2022-09-01,395.1
Slovenia,2022-09-01,394.49
France,2022-09-01,393.39
Croatia,2022-09-01,391.73
Hungary,2022-09-01,390.42
Slovakia,2022-09-01,386.52
Serbia,2022-07-01,384.27
Ireland,2022-08-01,383.46
Switzerland,2022-07-01,383.27
Romania,2022-09-01,377.92
Croatia,2022-07-01,375.56
Bulgaria,2022-09-01,375.13
Slovenia,2022-07-01,374.96
Hungary,2022-07-01,371.23
Slovakia,2022-07-01,368.43
Romania,2022-07-01,367.31
Czechia,2022-09-01,364.45
Austria,2022-07-01,361.75
Estonia,2022-08-01,360.7
Lithuania,2022-09-01,359.38
Luxembourg,2022-09-01,352.81
Germany,2022-09-01,352.81
Latvia,2022-09-01,351.48
