Country,Date,Price (EUR/MWhe)
Italy,2022-07-01,441.77
France,2022-07-01,400.95
Serbia,2022-07-01,384.27
Switzerland,2022-07-01,383.27
Croatia,2022-07-01,375.56
Slovenia,2022-07-01,374.96
Hungary,2022-07-01,371.23
Slovakia,2022-07-01,368.43
Romania,2022-07-01,367.31
Austria,2022-07-01,361.75
Greece,2022-07-01,338.32
Bulgaria,2022-07-01,323.4
Belgium,2022-07-01,321.55
Czechia,2022-07-01,319.64
Germany,2022-07-01,317.03
Luxembourg,2022-07-01,317.03
Italy,2022-03-01,307.97
Netherlands,2022-07-01,306.86
Switzerland,2022-03-01,306.09
Lithuania,2022-07-01,305.38
Latvia,2022-07-01,304.98
United Kingdom,2022-03-01,300.42
France,2022-03-01,295.17
Italy,2022-12-01,294.82
Croatia,2022-03-01,293.44
Slovenia,2022-03-01,293.44
Ireland,2022-03-01,292.18
Serbia,2022-03-01,291.97
United Kingdom,2021-12-01,288.48
United Kingdom,2022-12-01,287.79
Austria,2022-03-01,286.6
United Kingdom,2022-07-01,286.35
Hungary,2022-03-01,285.23
Spain,2022-03-01,283.19
Portugal,2022-03-01,283.09
Switzerland,2021-12-01,282.14
Italy,2021-12-01,281.01
Ireland,2022-12-01,279.75
Switzerland,2022-12-01,279.69
Slovakia,2022-03-01,279.1
Greece,2022-12-01,276.97
France,2021-12-01,274.51
Romania,2022-03-01,274.1
Greece,2022-03-01,272.32
Italy,2022-06-01,271.67
France,2022-12-01,270.49
Belgium,2022-12-01,268.88
Ireland,2022-07-01,267.31
Austria,2022-12-01,266.04
Belgium,2022-03-01,265.51
